price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
7350000,6000,3,2,2,yes,yes,no,no,yes,1,no,semi-furnished
7245000,9000,4,2,4,yes,yes,no,no,yes,1,yes,furnished
7210000,7680,4,2,4,yes,yes,no,no,yes,1,no,semi-furnished
7210000,6000,3,2,4,yes,yes,no,no,yes,1,no,furnished
7140000,6000,3,2,2,yes,yes,no,no,no,1,no,semi-furnished
7070000,6240,4,2,2,yes,no,no,no,yes,1,no,furnished
7035000,6360,4,2,3,yes,no,no,no,yes,2,yes,furnished
6930000,8880,3,2,2,yes,no,yes,no,yes,1,no,furnished
6895000,7700,3,2,1,yes,no,no,no,no,2,no,unfurnished
6790000,12090,4,2,2,yes,no,no,no,no,2,yes,furnished
6790000,4000,3,2,2,yes,no,yes,no,yes,0,yes,semi-furnished
6755000,6000,4,2,4,yes,no,no,no,yes,0,no,unfurnished
6685000,6600,2,2,4,yes,no,yes,no,no,0,yes,furnished
6650000,4260,4,2,2,yes,no,no,yes,no,0,no,semi-furnished
6650000,6420,3,2,3,yes,no,no,no,yes,0,yes,furnished
6650000,6500,3,2,3,yes,no,no,no,yes,0,yes,furnished
6650000,6000,3,2,3,yes,yes,no,no,yes,0,no,furnished
6615000,4000,3,2,2,yes,no,yes,no,yes,1,no,semi-furnished
6615000,10500,3,2,1,yes,no,yes,no,yes,1,yes,furnished
6580000,6000,3,2,4,yes,no,no,no,yes,0,no,semi-furnished
6510000,8250,3,2,3,yes,no,no,no,yes,0,no,furnished
6405000,4800,3,2,4,yes,yes,no,no,yes,0,no,furnished
6300000,7200,3,2,1,yes,no,yes,no,yes,3,no,semi-furnished
6300000,6000,4,2,4,yes,no,no,no,no,1,no,semi-furnished
6300000,4100,3,2,3,yes,no,no,no,yes,2,no,semi-furnished
6293000,6600,3,2,3,yes,no,no,no,yes,0,yes,unfurnished
6230000,6600,3,2,1,yes,no,yes,no,yes,0,yes,unfurnished
6195000,5500,3,2,4,yes,yes,no,no,yes,1,no,semi-furnished
6195000,6350,3,2,3,yes,yes,no,no,yes,0,no,furnished
6195000,5500,3,2,1,yes,yes,yes,no,no,2,yes,furnished
6160000,5450,4,2,1,yes,no,yes,no,yes,0,yes,semi-furnished
6090000,6615,4,2,2,yes,yes,no,yes,no,1,no,semi-furnished
6083000,4300,6,2,2,yes,no,no,no,no,0,no,furnished
6020000,6900,3,2,1,yes,yes,yes,no,no,0,yes,unfurnished
5950000,6254,4,2,1,yes,no,yes,no,no,1,yes,semi-furnished
5950000,7320,4,2,2,yes,no,no,no,no,0,no,furnished
5950000,6525,3,2,4,yes,no,no,no,no,1,no,furnished
5880000,6500,3,2,3,yes,no,no,no,yes,0,no,unfurnished
5775000,6000,3,2,4,yes,no,no,no,yes,0,no,unfurnished
5740000,5400,4,2,2,yes,no,no,no,yes,2,no,unfurnished
5740000,5800,3,2,4,yes,no,no,no,yes,0,no,unfurnished
5652500,6660,4,2,2,yes,yes,yes,no,no,1,yes,semi-furnished
5600000,10500,4,2,2,yes,no,no,no,no,1,no,semi-furnished
5600000,4800,5,2,3,no,no,yes,yes,no,0,no,unfurnished
5600000,5500,3,2,2,yes,no,no,no,no,1,no,semi-furnished
5600000,6600,4,2,1,yes,no,yes,no,no,0,yes,semi-furnished
5530000,3650,3,2,2,yes,no,no,no,no,2,no,semi-furnished
5530000,6100,3,2,1,yes,no,yes,no,no,2,yes,furnished
5495000,2817,4,2,2,no,yes,yes,no,no,1,no,furnished
5460000,3150,3,2,1,yes,yes,yes,no,yes,0,no,furnished
5460000,6600,4,2,2,yes,yes,yes,no,no,0,yes,semi-furnished
5390000,6710,3,2,2,yes,yes,yes,no,no,1,yes,furnished
5383000,6450,3,2,1,yes,yes,yes,yes,no,0,no,unfurnished
5285000,4600,2,2,1,yes,no,no,no,yes,2,no,semi-furnished
5250000,6540,4,2,2,no,no,no,no,yes,0,no,semi-furnished
5250000,5500,3,2,1,yes,no,yes,no,no,0,no,semi-furnished
5250000,5300,4,2,1,yes,no,no,no,yes,0,yes,unfurnished
5250000,9800,4,2,2,yes,yes,no,no,no,2,no,semi-furnished
5215000,3180,3,2,2,yes,no,no,no,no,2,no,semi-furnished
5215000,4500,4,2,1,no,no,yes,no,yes,2,no,semi-furnished
5110000,3000,3,2,2,yes,yes,yes,no,no,0,no,furnished
5005000,8150,3,2,1,yes,yes,yes,no,no,0,no,semi-furnished
4956000,2800,3,2,2,no,no,yes,no,yes,1,no,semi-furnished
4893000,3420,4,2,2,yes,no,yes,no,yes,2,no,semi-furnished
4893000,4995,4,2,1,yes,no,yes,no,no,0,no,semi-furnished
4767000,3420,4,2,2,yes,no,no,no,no,0,no,semi-furnished
4690000,9667,4,2,2,yes,yes,yes,no,no,1,no,semi-furnished
4620000,3880,3,2,2,yes,no,yes,no,no,2,no,semi-furnished
4613000,4510,4,2,2,yes,no,yes,no,no,0,no,semi-furnished
4543000,4100,2,2,1,yes,yes,yes,no,no,0,no,semi-furnished
4543000,4990,4,2,2,yes,yes,yes,no,no,0,yes,furnished
4340000,4500,3,2,3,yes,no,no,yes,no,1,no,furnished
4200000,2747,4,2,2,no,no,no,no,no,0,no,semi-furnished
4200000,4000,4,2,2,no,no,no,no,no,0,no,semi-furnished
4200000,4600,3,2,2,yes,no,no,no,yes,1,no,semi-furnished
4200000,3640,3,2,2,yes,no,yes,no,no,0,no,unfurnished
4095000,3680,3,2,2,yes,no,no,no,no,0,no,semi-furnished
4060000,5900,4,2,2,no,no,yes,no,no,1,no,unfurnished
4060000,4992,3,2,2,yes,no,no,no,no,2,no,unfurnished
4025000,3630,3,2,2,yes,no,no,yes,no,2,no,semi-furnished
4025000,3460,3,2,1,yes,no,yes,no,yes,1,no,furnished
3990000,4500,3,2,2,no,no,yes,no,yes,0,no,semi-furnished
3920000,7260,3,2,1,yes,yes,yes,no,no,3,no,furnished
3920000,2145,4,2,1,yes,no,yes,no,no,0,yes,unfurnished
3885000,3180,4,2,2,yes,no,no,no,no,0,no,furnished
3850000,5300,5,2,2,yes,no,no,no,no,0,no,semi-furnished
3850000,3180,2,2,1,yes,no,yes,no,no,2,no,semi-furnished
3815000,3150,2,2,1,no,no,yes,no,no,0,no,semi-furnished
3773000,2520,5,2,1,no,no,yes,no,yes,1,no,furnished
3640000,3520,2,2,1,yes,no,yes,no,no,0,no,semi-furnished
3640000,4130,3,2,2,yes,no,no,no,no,2,no,semi-furnished
3640000,2850,3,2,2,no,no,yes,no,no,0,yes,unfurnished
3570000,4500,4,2,2,yes,no,yes,no,no,2,no,furnished
3500000,2135,3,2,2,no,no,no,no,no,0,no,unfurnished
3430000,1950,3,2,2,yes,no,yes,no,no,0,yes,unfurnished
3150000,3986,2,2,1,no,yes,yes,no,no,1,no,unfurnished
2590000,3600,2,2,2,yes,no,yes,no,no,1,no,furnished
2380000,2787,4,2,2,yes,no,no,no,no,0,no,furnished
